Tennis Match Report,Date: 2026-04-30,Opponent: Counties - Severna Park,CourtId: C9,Court: Court 9 — Mixed Doubles 1

Final Score Summary
Team,Sets Won,Set 1,Set 2,Set 3 (10pt TB)
Our Team (Mixed Doubles 1),1,="9-8",="0-0",="0-0"
Counties - Severna Park,0,="8-9",="0-0",="0-0"

Court Results
Court,Description,Type,Note,Result
Court 1,Boys Singles 1,singles,,
Court 2,Girls Singles 1,singles,,
Court 3,Boys Singles 2,singles,,
Court 4,Girls Singles 2,singles,,
Court 5,Boys Doubles 1,doubles,,
Court 6,Girls Doubles 1,doubles,,
Court 7,Boys Doubles 2,doubles,,
Court 8,Girls Doubles 2,doubles,,
Court 9,Mixed Doubles 1,mixed,,W

Player Stats
Player,Aces,Errors,Double-Faults,Winners
Brandon,7,15,0,5
Maddie,5,19,5,7
OppBoy,1,21,0,7
OppGirl,1,16,0,6

Timeline
Timestamp,Player,Action,Game Score,Set Score
04:51:16 PM,Brandon,Error,="0-15",="Set 1: 0-0"
04:51:34 PM,OppGirl,Winner,="0-30",="Set 1: 0-0"
04:52:00 PM,OppBoy,Error,="15-30",="Set 1: 0-0"
04:52:17 PM,OppGirl,Error,="30-30",="Set 1: 0-0"
04:52:40 PM,OppGirl,Winner,="30-40",="Set 1: 0-0"
04:53:02 PM,OppBoy,Winner,="Game Won",="Set 1: 0-1"
04:54:03 PM,OppBoy,Error,="15-0",="Set 1: 0-1"
04:54:31 PM,Brandon,Error,="15-15",="Set 1: 0-1"
04:55:02 PM,OppBoy,Error,="30-15",="Set 1: 0-1"
04:55:22 PM,Maddie,Error,="30-30",="Set 1: 0-1"
04:55:44 PM,Brandon,Ace,="40-30",="Set 1: 0-1"
04:56:09 PM,OppBoy,Error,="Game Won",="Set 1: 1-1"
04:56:45 PM,Brandon,Error,="0-15",="Set 1: 1-1"
04:58:40 PM,Brandon,Error,="0-30",="Set 1: 1-1"
04:59:01 PM,OppGirl,Error,="15-30",="Set 1: 1-1"
04:59:17 PM,Maddie,Error,="15-40",="Set 1: 1-1"
04:59:38 PM,Maddie,Error,="Game Won",="Set 1: 1-2"
05:00:04 PM,Maddie,Error,="0-15",="Set 1: 1-2"
05:00:38 PM,Maddie,Double-Fault,="0-30",="Set 1: 1-2"
05:01:04 PM,Maddie,Ace,="15-30",="Set 1: 1-2"
05:01:36 PM,Maddie,Double-Fault,="15-40",="Set 1: 1-2"
05:02:02 PM,OppGirl,Error,="30-40",="Set 1: 1-2"
05:02:26 PM,Maddie,Error,="Game Won",="Set 1: 1-3"
05:02:57 PM,OppBoy,Winner,="0-15",="Set 1: 1-3"
05:03:17 PM,OppBoy,Error,="15-15",="Set 1: 1-3"
05:03:46 PM,OppBoy,Error,="30-15",="Set 1: 1-3"
05:04:07 PM,OppGirl,Winner,="30-30",="Set 1: 1-3"
05:05:34 PM,OppGirl,Error,="40-30",="Set 1: 1-3"
05:06:43 PM,OppGirl,Error,="Game Won",="Set 1: 2-3"
05:08:37 PM,OppBoy,Winner,="0-15",="Set 1: 2-3"
05:08:58 PM,Maddie,Winner,="15-15",="Set 1: 2-3"
05:09:21 PM,Maddie,Winner,="30-15",="Set 1: 2-3"
05:10:08 PM,Brandon,Error,="30-30",="Set 1: 2-3"
05:10:23 PM,Brandon,Error,="30-40",="Set 1: 2-3"
05:10:55 PM,OppGirl,Error,="40-40",="Set 1: 2-3"
05:11:47 PM,Brandon,Error,="40-AD",="Set 1: 2-3"
05:11:59 PM,Maddie,Winner,="40-40",="Set 1: 2-3"
05:12:36 PM,Brandon,Ace,="AD-40",="Set 1: 2-3"
05:12:54 PM,Brandon,Ace,="Game Won",="Set 1: 3-3"
05:13:48 PM,Brandon,Error,="0-15",="Set 1: 3-3"
05:14:24 PM,Brandon,Winner,="15-15",="Set 1: 3-3"
05:15:06 PM,OppBoy,Error,="30-15",="Set 1: 3-3"
05:15:37 PM,Maddie,Error,="30-30",="Set 1: 3-3"
05:15:53 PM,Brandon,Winner,="40-30",="Set 1: 3-3"
05:16:30 PM,Brandon,Error,="40-40",="Set 1: 3-3"
05:16:52 PM,OppGirl,Ace,="40-AD",="Set 1: 3-3"
05:17:18 PM,Maddie,Error,="Game Won",="Set 1: 3-4"
