Tennis Match Report,Date: 2026-04-17,Opponent: Girls Court,CourtId: C2,Court: Court 2 — Girls Singles 1

Final Score Summary
Team,Sets Won,Set 1,Set 2,Set 3 (10pt TB)
Our Team (Girls Singles 1),2,="7-5",="6-4",="0-0"
Girls Court,0,="5-7",="4-6",="0-0"

Player Stats
Player,Aces,Errors,Double-Faults,Winners
Josie,24,18,16,30
OppGirl,5,8,7,18

Timeline
Timestamp,Player,Action,Game Score,Set Score
11:57:32 AM,OppGirl,Ace,="0-15",="Set 1: 0-0"
11:57:33 AM,OppGirl,Error,="15-15",="Set 1: 0-0"
11:57:33 AM,OppGirl,Error,="30-15",="Set 1: 0-0"
11:57:33 AM,OppGirl,Winner,="30-30",="Set 1: 0-0"
11:57:33 AM,OppGirl,Double-Fault,="40-30",="Set 1: 0-0"
11:57:33 AM,OppGirl,Double-Fault,="Game Won",="Set 1: 1-0"
11:57:34 AM,Josie,Winner,="15-0",="Set 1: 1-0"
11:57:34 AM,Josie,Double-Fault,="15-15",="Set 1: 1-0"
11:57:34 AM,Josie,Double-Fault,="15-30",="Set 1: 1-0"
11:57:34 AM,Josie,Error,="15-40",="Set 1: 1-0"
11:57:35 AM,Josie,Ace,="30-40",="Set 1: 1-0"
11:57:35 AM,Josie,Error,="Game Won",="Set 1: 1-1"
11:57:35 AM,Josie,Winner,="15-0",="Set 1: 1-1"
11:57:35 AM,Josie,Winner,="30-0",="Set 1: 1-1"
11:57:35 AM,Josie,Ace,="40-0",="Set 1: 1-1"
11:57:37 AM,Josie,Ace,="Game Won",="Set 1: 2-1"
11:57:37 AM,Josie,Ace,="15-0",="Set 1: 2-1"
11:57:38 AM,OppGirl,Ace,="15-15",="Set 1: 2-1"
11:57:38 AM,OppGirl,Ace,="15-30",="Set 1: 2-1"
11:57:38 AM,OppGirl,Error,="30-30",="Set 1: 2-1"
11:57:38 AM,OppGirl,Error,="40-30",="Set 1: 2-1"
11:57:38 AM,OppGirl,Winner,="40-40",="Set 1: 2-1"
11:57:39 AM,OppGirl,Winner,="40-AD",="Set 1: 2-1"
11:57:39 AM,OppGirl,Double-Fault,="40-40",="Set 1: 2-1"
11:57:39 AM,OppGirl,Double-Fault,="AD-40",="Set 1: 2-1"
11:57:39 AM,Josie,Double-Fault,="40-40",="Set 1: 2-1"
11:57:40 AM,Josie,Winner,="AD-40",="Set 1: 2-1"
11:57:40 AM,Josie,Ace,="Game Won",="Set 1: 3-1"
11:57:40 AM,Josie,Error,="0-15",="Set 1: 3-1"
11:57:40 AM,Josie,Error,="0-30",="Set 1: 3-1"
11:57:41 AM,Josie,Double-Fault,="0-40",="Set 1: 3-1"
11:57:41 AM,Josie,Winner,="15-40",="Set 1: 3-1"
11:57:41 AM,Josie,Winner,="30-40",="Set 1: 3-1"
11:57:41 AM,OppGirl,Ace,="Game Won",="Set 1: 3-2"
11:57:41 AM,OppGirl,Error,="15-0",="Set 1: 3-2"
11:57:42 AM,OppGirl,Error,="30-0",="Set 1: 3-2"
11:57:42 AM,OppGirl,Double-Fault,="40-0",="Set 1: 3-2"
11:57:42 AM,OppGirl,Winner,="40-15",="Set 1: 3-2"
11:57:42 AM,OppGirl,Winner,="40-30",="Set 1: 3-2"
11:57:42 AM,OppGirl,Double-Fault,="Game Won",="Set 1: 4-2"
11:57:43 AM,OppGirl,Error,="15-0",="Set 1: 4-2"
11:57:43 AM,Josie,Winner,="30-0",="Set 1: 4-2"
11:57:43 AM,Josie,Ace,="40-0",="Set 1: 4-2"
11:57:43 AM,Josie,Error,="40-15",="Set 1: 4-2"
11:57:44 AM,Josie,Double-Fault,="40-30",="Set 1: 4-2"
11:57:44 AM,Josie,Winner,="Game Won",="Set 1: 5-2"
11:57:44 AM,OppGirl,Ace,="0-15",="Set 1: 5-2"
11:57:44 AM,OppGirl,Error,="15-15",="Set 1: 5-2"
11:57:45 AM,OppGirl,Winner,="15-30",="Set 1: 5-2"
11:57:45 AM,OppGirl,Double-Fault,="30-30",="Set 1: 5-2"
11:57:46 AM,OppGirl,Winner,="30-40",="Set 1: 5-2"
11:57:46 AM,OppGirl,Winner,="Game Won",="Set 1: 5-3"
11:57:46 AM,OppGirl,Winner,="0-15",="Set 1: 5-3"
