Tennis Match Report,Date: 2026-05-09,Opponent: Regionals - Chopticon,CourtId: C9,Court: Court 9 — Mixed Doubles 1

Final Score Summary
Team,Sets Won,Set 1,Set 2,Set 3 (10pt TB)
Our Team (Mixed Doubles 1),1,="3-6",="6-3",="6-2"
Regionals - Chopticon,1,="6-3",="3-6",="2-6"

Player Stats
Player,Aces,Errors,Double-Faults,Winners
Brandon,0,21,0,2
Maddie,0,26,2,8
OppBoy,4,36,6,16
OppGirl,0,19,2,1

Timeline
Timestamp,Player,Action,Game Score,Set Score
12:58:40 PM,OppBoy,Double-Fault,="15-0",="Set 1: 0-0"
12:59:02 PM,Maddie,Error,="15-15",="Set 1: 0-0"
12:59:42 PM,OppBoy,Error,="30-15",="Set 1: 0-0"
01:00:19 PM,OppBoy,Error,="40-15",="Set 1: 0-0"
01:00:44 PM,Brandon,Error,="40-30",="Set 1: 0-0"
01:01:02 PM,Maddie,Error,="40-40",="Set 1: 0-0"
01:01:31 PM,OppBoy,Error,="AD-40",="Set 1: 0-0"
01:02:06 PM,OppGirl,Error,="Game Won",="Set 1: 1-0"
01:03:06 PM,OppBoy,Error,="15-0",="Set 1: 1-0"
01:03:39 PM,OppBoy,Winner,="15-15",="Set 1: 1-0"
01:03:54 PM,Maddie,Error,="15-30",="Set 1: 1-0"
01:04:13 PM,OppBoy,Error,="30-30",="Set 1: 1-0"
01:04:38 PM,Brandon,Error,="30-40",="Set 1: 1-0"
01:04:58 PM,OppBoy,Error,="40-40",="Set 1: 1-0"
01:05:12 PM,Brandon,Error,="40-AD",="Set 1: 1-0"
01:05:28 PM,OppGirl,Error,="40-40",="Set 1: 1-0"
01:05:54 PM,OppGirl,Error,="AD-40",="Set 1: 1-0"
01:06:09 PM,Maddie,Error,="40-40",="Set 1: 1-0"
01:06:42 PM,OppBoy,Winner,="40-AD",="Set 1: 1-0"
01:06:59 PM,OppBoy,Error,="40-40",="Set 1: 1-0"
01:07:23 PM,OppBoy,Error,="AD-40",="Set 1: 1-0"
01:07:39 PM,OppBoy,Winner,="40-40",="Set 1: 1-0"
01:08:01 PM,Maddie,Winner,="AD-40",="Set 1: 1-0"
01:08:23 PM,Brandon,Error,="40-40",="Set 1: 1-0"
01:08:40 PM,OppBoy,Error,="AD-40",="Set 1: 1-0"
01:08:59 PM,OppBoy,Error,="Game Won",="Set 1: 2-0"
01:09:31 PM,Brandon,Error,="0-15",="Set 1: 2-0"
01:10:06 PM,OppBoy,Error,="15-15",="Set 1: 2-0"
01:10:27 PM,Brandon,Error,="15-30",="Set 1: 2-0"
01:10:44 PM,OppGirl,Error,="30-30",="Set 1: 2-0"
01:11:23 PM,Brandon,Error,="30-40",="Set 1: 2-0"
01:11:59 PM,Maddie,Error,="Game Won",="Set 1: 2-1"
01:13:38 PM,OppGirl,Error,="15-0",="Set 1: 2-1"
01:14:04 PM,Maddie,Error,="15-15",="Set 1: 2-1"
01:14:44 PM,Maddie,Winner,="30-15",="Set 1: 2-1"
01:15:18 PM,Maddie,Error,="30-30",="Set 1: 2-1"
01:16:06 PM,Brandon,Error,="30-40",="Set 1: 2-1"
01:16:36 PM,OppGirl,Error,="40-40",="Set 1: 2-1"
01:17:06 PM,OppBoy,Winner,="40-AD",="Set 1: 2-1"
01:17:37 PM,OppGirl,Error,="40-40",="Set 1: 2-1"
01:18:09 PM,Maddie,Error,="40-AD",="Set 1: 2-1"
01:18:28 PM,OppBoy,Winner,="Game Won",="Set 1: 2-2"
01:18:57 PM,OppBoy,Winner,="0-15",="Set 1: 2-2"
01:19:49 PM,Brandon,Error,="0-30",="Set 1: 2-2"
01:20:32 PM,Maddie,Winner,="15-30",="Set 1: 2-2"
01:20:52 PM,OppBoy,Ace,="15-40",="Set 1: 2-2"
01:21:14 PM,Brandon,Error,="Game Won",="Set 1: 2-3"
01:23:25 PM,OppBoy,Error,="15-0",="Set 1: 2-3"
01:23:55 PM,OppBoy,Winner,="15-15",="Set 1: 2-3"
01:24:27 PM,OppBoy,Error,="30-15",="Set 1: 2-3"
01:24:54 PM,Maddie,Error,="30-30",="Set 1: 2-3"
01:25:13 PM,OppBoy,Error,="40-30",="Set 1: 2-3"
01:25:26 PM,Brandon,Error,="40-40",="Set 1: 2-3"
