Tennis Match Report,Date: 2026-05-11,Opponent: Regionals - Chopticon TB,CourtId: C9,Court: Court 9 — Mixed Doubles 1

Final Score Summary
Team,Sets Won,Set 1,Set 2,Set 3 (10pt TB)
Our Team (Mixed Doubles 1),1,="6-1",="0-6",="8-10"
Regionals - Chopticon TB,2,="1-6",="6-0",="10-8"

Court Results
Court,Description,Type,Note,Result
Court 1,Boys Singles 1,singles,,
Court 2,Girls Singles 1,singles,,
Court 3,Boys Singles 2,singles,,
Court 4,Girls Singles 2,singles,,
Court 5,Boys Doubles 1,doubles,,
Court 6,Girls Doubles 1,doubles,,
Court 7,Boys Doubles 2,doubles,,
Court 8,Girls Doubles 2,doubles,,
Court 9,Mixed Doubles 1,mixed,,L

Player Stats
Player,Aces,Errors,Double-Faults,Winners
Brandon,20,3,0,1
Maddie,6,2,1,1
OppBoy,28,4,0,3
OppGirl,0,2,0,1

Timeline
Timestamp,Player,Action,Game Score,Set Score
03:05:29 PM,Brandon,Ace,="15-0",="Set 1: 0-0"
03:05:29 PM,Brandon,Ace,="30-0",="Set 1: 0-0"
03:05:29 PM,Brandon,Ace,="40-0",="Set 1: 0-0"
03:05:29 PM,Brandon,Ace,="Game Won",="Set 1: 1-0"
03:05:30 PM,Brandon,Ace,="15-0",="Set 1: 1-0"
03:05:30 PM,Brandon,Ace,="30-0",="Set 1: 1-0"
03:05:31 PM,Maddie,Ace,="40-0",="Set 1: 1-0"
03:05:31 PM,Maddie,Ace,="Game Won",="Set 1: 2-0"
03:05:31 PM,Maddie,Ace,="15-0",="Set 1: 2-0"
03:05:32 PM,Maddie,Ace,="30-0",="Set 1: 2-0"
03:05:33 PM,OppBoy,Ace,="30-15",="Set 1: 2-0"
03:05:33 PM,OppBoy,Ace,="30-30",="Set 1: 2-0"
03:05:34 PM,OppBoy,Ace,="30-40",="Set 1: 2-0"
03:05:34 PM,OppBoy,Ace,="Game Won",="Set 1: 2-1"
03:05:35 PM,Brandon,Ace,="15-0",="Set 1: 2-1"
03:05:35 PM,Brandon,Ace,="30-0",="Set 1: 2-1"
03:05:36 PM,Brandon,Ace,="40-0",="Set 1: 2-1"
03:05:36 PM,Brandon,Ace,="Game Won",="Set 1: 3-1"
03:05:36 PM,Brandon,Ace,="15-0",="Set 1: 3-1"
03:05:36 PM,Brandon,Ace,="30-0",="Set 1: 3-1"
03:05:36 PM,Brandon,Ace,="40-0",="Set 1: 3-1"
03:05:37 PM,Brandon,Ace,="Game Won",="Set 1: 4-1"
03:05:37 PM,Maddie,Ace,="15-0",="Set 1: 4-1"
03:05:37 PM,Maddie,Ace,="30-0",="Set 1: 4-1"
03:05:38 PM,Brandon,Ace,="40-0",="Set 1: 4-1"
03:05:39 PM,Brandon,Ace,="Game Won",="Set 1: 5-1"
03:05:39 PM,Brandon,Ace,="15-0",="Set 1: 5-1"
03:05:40 PM,Brandon,Ace,="30-0",="Set 1: 5-1"
03:05:40 PM,Brandon,Ace,="40-0",="Set 1: 5-1"
03:05:41 PM,Brandon,Ace,="Game Won",="Set 1: 6-1"
03:05:43 PM,OppBoy,Ace,="0-15",="Set 2: 0-0"
03:05:43 PM,OppBoy,Ace,="0-30",="Set 2: 0-0"
03:05:43 PM,OppBoy,Ace,="0-40",="Set 2: 0-0"
03:05:44 PM,OppBoy,Ace,="Game Won",="Set 2: 0-1"
03:05:45 PM,OppBoy,Ace,="0-15",="Set 2: 0-1"
03:05:45 PM,OppBoy,Ace,="0-30",="Set 2: 0-1"
03:05:45 PM,OppBoy,Ace,="0-40",="Set 2: 0-1"
03:05:46 PM,OppBoy,Ace,="Game Won",="Set 2: 0-2"
03:05:47 PM,OppBoy,Ace,="0-15",="Set 2: 0-2"
03:05:47 PM,OppBoy,Ace,="0-30",="Set 2: 0-2"
03:05:47 PM,OppBoy,Ace,="0-40",="Set 2: 0-2"
03:05:48 PM,OppBoy,Ace,="Game Won",="Set 2: 0-3"
03:05:48 PM,OppBoy,Ace,="0-15",="Set 2: 0-3"
03:05:49 PM,OppBoy,Ace,="0-30",="Set 2: 0-3"
03:05:49 PM,OppBoy,Ace,="0-40",="Set 2: 0-3"
03:05:49 PM,OppBoy,Ace,="Game Won",="Set 2: 0-4"
03:05:50 PM,OppBoy,Ace,="0-15",="Set 2: 0-4"
